key1,x1,y1,z1,hemisphere1,network1,network_id1,image1,mdsx1,mdsy1,color1,key2,x2,y2,z2,hemisphere2,network2,network_id2,image2,mdsx2,mdsy2,color2,corr
1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700
2,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700
3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.536
4,8.53,-44.54,39.41,R,Default,1,roi348.png,-25.865,8.668,#ff2700,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.54
4,8.53,-44.54,39.41,R,Default,1,roi348.png,-25.865,8.668,#ff2700,2,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.534
5,3.13,-35.34,33.55,R,Default,1,roi332.png,-16.308,3.042,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3.13,-35.34,33.55,R,Default,1,roi332.png,-16.308,3.042,#ff2700
6,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700
7,61.34,-16.96,-8.15,R,Default,1,roi620.png,6.812,60.576,#ff2700,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.557
8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700
9,46.98,-8.78,-26.33,R,Default,1,roi529.png,16.232,45.927,#ff2700,6,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,0.531
10,45.42,-3.95,-14.73,R,Default,1,roi617.png,20.008,44.35,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,45.42,-3.95,-14.73,R,Default,1,roi617.png,20.008,44.35,#ff2700
11,45.74,2.79,-27.94,R,Default,1,roi530.png,27.869,44.441,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,45.74,2.79,-27.94,R,Default,1,roi530.png,27.869,44.441,#ff2700
12,28.98,14.51,-9,R,Default,1,roi431.png,37.558,27.58,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,28.98,14.51,-9,R,Default,1,roi431.png,37.558,27.58,#ff2700
13,35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700
14,3.17,20.69,-13.66,R,Default,1,roi526.png,43.58,1.618,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3.17,20.69,-13.66,R,Default,1,roi526.png,43.58,1.618,#ff2700
15,15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.618
